
КОД,НАЗВА,ЦІНА грн.,СЕКЦІЯ,КІЛЬКІСТЬ,ДАТА,КОРОБКА,ПРОСРОЧКА,,ОЧІКУЄМ,ТЕСТЕРИ
СЕКЦІЯ 1,,,,,,,,,,
Новинки ! 1 секція - Регулярна лінія,,,,,,,,,,
10153498,Блиск для губ Mary Kay Unlimited - Персиковий Блиск,640,1,,,,,,,
10153494,Блиск для губ Mary Kay Unlimited - Рожева Вуаль,640,1,1,02/27(1),1,,,,
10153502,Блиск для губ Mary Kay Unlimited - Рожевий Нюд,640,1,3,"11/26(2), 08/27(1)",,,,,
10153496,Блиск для губ Mary Kay Unlimited - Рожевий Ф’южн,640,1,,,,,,,
10153507,Блиск для губ Mary Kay Unlimited - Сяюча Ілюзія,640,1,,,,,,,
10153503,Блиск для губ Mary Kay Unlimited - Теплий Нюд,640,1,,,,,,,
Пензлі та аплікатори,,,,,,,,,,
10135951,Аплікатор для маски,350,1,,,,,,,
10134451,Аплікатори для тіней,120,1,,,,,,,
10134441,Компактний пензель для пудри,230,1,,,,,,,
10134442,Компактний пензель для рум'ян,120,1,,,,,,,
10134452,Косметичні спонжі,160,1,,,,,,,
10191933,Набір з пензля для хайлайтеру та спонжу для контурингу,680,1,,,,,,,
10123649,Набір косметичних пензлів Mary Kay®,2490,1,,,,,,,
10122328,Пензель для брів/підводка для очей Mary Kay®,490,1,,,,,,,
10122329,Пензель для нанесення кремових тіней Mary Kay®,490,1,,,,,,,
10122325,Пензель для нанесення основи під макіяж,600,1,,,,,,,
10122320,Пензель для нанесення пудри Mary Kay®,780,1,,,,,,,
10122323,Пензель для нанесення тіней Mary Kay®,490,1,,,,,,,
10135948,Пензель для розтушовування,480,1,,,,,,,
10122324,Пензель для розтушовування тіней Mary Kay®,490,1,,,,,,,
10122321,Пензель для рум'ян,650,1,,,,,,,
10203688,Пензель для тональної основи у формі серця,720,1,,,,,,,
10115769,Спонж б'юті-блендер Mary Kay®,450,1,,,,,,,
Футляри,,,,,,,,,,
10202992,Футляр для декоративної косметики Perfect Palette®,800,1,,,,,,,
10127861,Футляр для декоративної косметики Pro Palette®,900,1,,,,,,,
10114610,Футляр для декоративної косметики Petite Palette™,400,1,,,,,,,
Органайзер для косметики,,,,,,,,,,
10143940,Органайзер для косметики,1150,1,,,,,,,
Догляд за руками,,,,,,,,,,
10218182,"Крем для рук ""Ісландський туман та жасмин""",470,1,2,03/26(2),18,,,,
10224272,"Живильний крем для рук із маслом ши ""Бузок та Цитрус""",490,1,2,06/27(2),19,,,,
10224270,"Набір для догляду за шкірою рук Satin Hands® ""Бузок та Цитрус""",1580,1,2,11/26(2),,,,,
10218184,"Крем для рук ""Пасифлора""",470,1,3,07/26(3),18,,,,
10218183,"Крем для рук ""Ягоди та троянда""",470,1,2,07/26(2),18,,,,
10156070,Крем для рук Satin Hands®. Без аромату,470,1,2,04/27(2),19,01/25(4),,,
10216449,"Живильний крем для рук із маслом ши ""Садовий персик""",370,1,4,04/26(4),,,,,
10201215,"Крем для рук ""Лісові ягоди та Пасифлора"""," 360,00",1,1,08/25(1),,,,,
10090639,"Набір Satin Hands® ""Білий чай і Цитрус""",1580,1,,,,12/24(2),,,
Догляд за тілом,,,,,,,,,,
10211965,"Гель для душу ""Мандариновий цвіт""",850,1,3,05/26(3),18,,,,
10211963,"Гель для душу MKMen ""Цитрусовий сад"" Цитрусовий сад",790,1,,,,,,,
10091503,Гель для душу з маслом ши Satin Body®,820,1,,,,,,,
10224872,Лосьйон для тіла Belara®,970,1,4,06/27(4),,,,,
10219577,"Набір для педикюру ""Розмарин та м'ята""",1300,1,4,03/26 (4),18,,,,
10214847,"Набір засобів для тіла ""Мандариновий цвіт""",1450,1,1,04/26(2),18,,,,
10214845,"Набір засобів для тіла ""Лаванда та Магнолія""",1580,1,1,01/26(1),18,,,,
10179842,Парфумований гель для душу Яблуко та Мигдаль,690,1,3,08/25(3),18,,,,
10179860,Парфумований гель для душу Ягоди та ваніль,690,1,2,10/25(2),18,,,,
10179945,Парфумований лосьйон для тіла Яблуко та мигдаль,690,1,3,10/25(2),18,,,,
10091505,Оновлювальний скраб для тіла з маслом ши Satin Body®,820,1,,,,,,,
10091501,Пом’якшувальний лосьйон для тіла з маслом ши Satin Body®,820,1,,,,,,,
10201150,Тонізуючий лосьйон для тіла TimeWise Body™ Targeted-Action®,900,1,3,"09/26(1), 08/26(2)",34,,,,
10050167,Охолоджувальний та відновлювальний гель після засмаги," 480,00",1,3,09/25(3),31,,,,
10157499,Суфле для тіла Illuminea™," 1 300,00",1,,,18,01/25(3),,,
10219507,Тонізуючий лосьйон для тіла TimeWise Targeted-Action®,1320,1,4,"08/26(2), 08/27(2)",,,,,
Аромати,,,,,,,,,,
Жіночі,,,,,,,,,,
10203697,"Деоколон-спрей для тіла ""Лотос і Бамбук""",980,1,5,"02/27(3), 04/27(2)",21,,,,
10141780,Парфуми Illuminea™,3350,1,2,"04/26(1), 06/26(1)",21,,,,
10198578,Парфумована вода Belara®,1600,1,1,12/25(1),,,,,
10078705,Парфумована вода Cityscape®,2000,1,1,07/26(1),21,,,,
10109663,Парфумована вода Elige®,1900,1,2,03/26(2),21,,,,
10088621,Парфумована вода Forever Diamonds™,1750,1,3,11/25(3),21,,,,
10166716,Парфумована вода Journey®,1750,1,2,05/26(1),21,11/24(1),,,
10094306,Парфумована вода Live Fearlessly™,2050,1,,,21,"09/24(1), 03/25(1)",,,
10222284,Парфумована вода Mary Kay Boundless Blue™,1700,1,3,05/26(3),21,,,,
10125774,Парфумована вода Love Fearlessly®,2050,1,,,21,08/25(1),,,
10218636,Парфумована вода Thinking of you®.,1550,1,,,,,,,
10091848,Туалетна вода Enchanted Wish™,1750,1,,,,,,,
10202996,Парфумована вода Illuminea Dreams™," 2 450,00",1,2,09/25(1),21,,,,
10198601,Парфумована вода Thinking of Love®," 1 200,00",1,1,04/25(1),21,,,,
10174886,Туалетна вода If You Believe®,1850,1,8,"12/25(3), 06/26(5)",21,,,,
Чоловічі,,,,,,,,,,
10198635,Туалетна вода для чоловіків Velocity®,1450,1,3,"03/25(2), 02/26(1)",34,,,,
10078744/221422,Туалетна вода-спрей Cityscape®,2300,1,4,"06/25(1),06/27(3)",34,,,,
10028785,Туалетна вода-спрей Domain®,1610,1,1,10/25(1),,,,,
10091570,Туалетна вода-спрей High Intensity Ocean™,1750,1,,,,,,,
10109681,Туалетна вода-спрей High Intensity™,1750,1,7,"11/24(1), 10/25(6)",21,,,,
10198590,Туалетна вода-спрей High Intensity™ Sport,1750,1,1,09/25,34,,,,
10198633,Туалетна вода-спрей True Original®,1750,1,1,08/25,34,,,,
Секція 2,,,,,,,,,,
Демонстраційні зразки,,,,,,,,,,
10204261,"Пробник Гідрогелевих патчів під очі, 1 пара",60,2,,,,,,,
10039972,Пробники зволожувальної маски-гель TimeWise,80,2,,,,,,,
10161660,"Пробники Крему для рук Satin Hands® (Без аромату), 12 шт.",400,2,,,,,,,
10206614,Пробники набору засобів Mary Kay® для зволоження шкіри,90,2,,,,,,,
10207473,"Пробник Крему для рук Satin Hands (без аромату), 1шт",40,2,,,,,,,
10217725,Пробник Крему для шкіри навколо очей з комплексом TimeWise® 3D,110,2,,,,,,,
10145845,Пробник маски на основі вугілля для глибокого очищення шкіри обличчя,80,2,,,,,,,
10209877,Пробник поліпшеної системи оновлення шкіри,115,2,,,,,,,
10217695,Пробник Чарівного набору TimeWise®3D комб./жирн.,110,2,,,,,,,
10217713,Пробник Чарівного набору TimeWise®3D суха/норм.,110,2,,,,,,,
Засоби для проведення класів,,,,,,,,,,
8198577,"Аплікатор для губ, 15 шт",30,2,,,,,,,
10400700,Лопатка для крему (24 шт),35,2,,,,,,,
10003370,"Одноразовi пензлi для тушi, 15 шт",55,2,,,,,,,
10065200,"Одноразові пензлі для губ, 15 шт",30,2,,,,,,,
10128372,Одноразові підноси для кремів (30 шт.),80,2,,,,,,,
10149098,Одноразові серветки (30 шт),80,2,,,,,,,
10201935,"Одноразові аплікатори для очей, 15 шт",40,2,,,,,,,
10134029,Паперові тестери для ароматів (25 шт.),35,2,,,,,,,
10017364,Підставка для декоративної косметики,120,2,,,,,,,
10070574,Спонж для тіла - White,70,2,,,,,,,
Подарунки Господиням класу,,,,,,,,,,
8091612,"Ручка кулькова ""Пурпур""",380,2,,,,,,,
6177747,Сумка-мішечок срібляста,180,2,,,,,,,
Засоби для розширення бізнесу,,,,,,,,,,
10997700,Значок Консультанта,65,2,,,,,,,
8134000,"Обідок ""Головний Органiзатор""",110,2,,,,,,,
8134100,"Обідок ""Майбутнiй Лiдер Бiзнес Групи""",120,2,,,,,,,
8027965,"Обідок ""Організатор""",80,2,,,,,,,
8133800,"Обідок ""Старший Консультант""",100,2,,,,,,,
8097505,"Сумка ""Вибір Бізнес Леді"" CITY",650,2,,,,,,,
"Листівки, запрошення, блокноти, буклети",,,,,,,,,,
10070988,Карточки по макияжу (10 шт. в компл),20,2,,,,,,,
10247633,"Листівки ""Дякую"" (2 види по 5 штук)",20,2,,,,,,,
10206390,"Набір листівок ""Чек-лист здоров'я жінки""",28,2,,,,,,,
10177504,"Набір листівок Satin Body, 5 шт",4,2,,,,,,,
10211481,"Набір листівок з рожево-золотистим дизайном, 10 шт",85,2,,,,,,,
10142594,Набір стікерів Mary Kay,22,2,,,,,,,
10206450,Святкова листівка в золотисто-рожевому дизайні,9,2,,,,,,,
Засоби для пакування,,,,,,,,,,
8181218,Рожева стрічка з лого Mary Kay,58,2,,,,,,,
10206451,Стікери золотистого кольору з МК лого 30 шт на листок,34,2,,,,,,,
10188729,Тіш'ю папір рожевий,15,2,,,,,,,
10186971,Тіш'ю папір сірий,15,2,,,,,,,
Пакети,,,,,,,,,,
10235189,"Пакет пластиковий HDPE, розмір 30*40, 1шт",7,2,,,,,,,
10235190,"Пакет пластиковий HDPE, розмір 30*40, 50шт",320,2,,,,,,,
